x,y,z,energy
-43,336,994,1050.13
-56,317,1003,1053.39
-32,291,1012,1053.49
-52,346,991,1050.95
-65,402,948,1031.76
-94,292,1001,1046.95
-36,368,1003,1068.99
-2,313,1007,1054.52
7,342,1010,1066.36
-40,826,-528,981.15
-92,324,1002,1057.09
-85,339,975,1035.75
-64,413,961,1047.94
-60,391,981,1057.75
-42,366,1014,1078.85
11,380,989,1059.55
4,387,973,1047.15
-33,339,1004,1060.2
-63,338,988,1046.12
32,377,988,1057.97
-26,353,1007,1067.4
-63,410,929,1017.4
-267,330,970,1058.81
-237,337,1000,1081.54
-227,334,981,1060.87
-234,357,968,1057.94
-202,301,990,1054.28
-197,305,1000,1063.88
-160,344,983,1053.67
-213,286,1021,1081.48
-108,332,1005,1063.91
-156,323,1017,1078.4
-159,306,1031,1087.14
-109,326,975,1033.82
-99,345,993,1055.88
-235,208,991,1039.5
-95,347,1018,1079.7
-83,355,997,1061.57
-136,353,958,1029.98
-132,300,1021,1072.32
-115,257,1012,1050.44
-115,273,1034,1075.6
-139,257,1025,1065.83
-100,262,1014,1052.06
-46,266,1014,1049.32
-37,285,1013,1052.98
-89,283,1020,1062.27
